ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
87494;"Kergu postipunkt";1;EE;"Pärnu maakond";"Vändra vald";"Kergu küla";NULL;NULL;"Kergu kaupluse";NULL;NULL;24.7547179359939;58.6675680332994;"E-L 9.00-18.00;P 9.00-15.00";NULL;NULL;"22.06.-24.06.2015 suletud";24.06.2015;;;;;;2015-06-15+03:00
76394;"Kernu postipunkt";1;EE;"Harju maakond";"Kernu vald";"Kohatu küla";NULL;NULL;Krooningu;NULL;NULL;24.5066410547571;59.1599092866427;"E-R 09.00-21.00;L,P 10.00-21.00";NULL;NULL;"20.08.2015 suletud";20.08.2015;;;;;;2015-08-05+03:00
93395;"Kihelkonna postipunkt";1;EE;"Saare maakond";"Kihelkonna vald";"Kihelkonna alevik";NULL;"Lümanda maantee";NULL;2;NULL;22.037584569362;58.3596540274598;"E-R 8.30-15.00;L, P suletud";NULL;NULL;"20.08.2015 avatud 8.30-12.00";20.08.2015;;;;;;2015-08-11+03:00
45293;"Kihlevere postipunkt";1;EE;"Lääne-Viru maakond";"Kadrina vald";"Kihlevere küla";NULL;"Külavahe tee";NULL;2;1;26.1246744279871;59.3784384665097;"E,K,R 9:00-17:00;T,N 10:00-18:00;L,P suletud";NULL;NULL;"20.08.2015 suletud";20.08.2015;;;;;;2015-08-05+03:00
88001;"Kihnu postkontor";1;EE;"Pärnu maakond";"Kihnu vald";"Sääre küla";NULL;NULL;"Kihnu kauplus";NULL;NULL;23.9818622472008;58.1406940740194;"T-L 9:30-16:00;E,P suletud";"20.08.2015 suletud";20.08.2015;NULL;NULL;;;;;;2015-08-04+03:00
75491;"Kiili postkontor";1;EE;"Harju maakond";"Kiili vald";"Kiili alev";NULL;"Nabala tee";NULL;4;NULL;24.8372047110389;59.3075206179366;"E 7:00-13:00;T 9:30-13:00;K 7:00-18:00;N 09:30-18:00;R 7:00-13:00;LP suletud";NULL;NULL;"07.09.-20.09.15 avatud E 8:30-14:30;T 9:30-13:00;K 8:30-18:00;N 9:30-18:00;R 8:30-14:30;L,P suletud;lähim Saku pk";20.09.2015;;;;;;2015-09-01+03:00
75592;"Kiisa postkontor";1;EE;"Harju maakond";"Saku vald";"Kiisa alevik";NULL;"Kurtna tee";NULL;2;NULL;24.6835457113448;59.23529341104;"T,K 14:00-19:00;N,R 09:00-12:00;L 11:00-13:00;E,P suletud";"06.07.-23.08.15 suletud;lähim Saku pk";23.08.2015;"24.08-06.09.15 avatud T,K 15:30-19:00;R 9:00-11:30;E,N,L,P suletud;lähim Saku pk";06.09.2015;;;;;;2015-07-23+03:00
86399;"Kilingi-Nõmme postkontor";1;EE;"Pärnu maakond";"Saarde vald";"Kilingi-Nõmme linn";NULL;"Pärnu tänav";NULL;44;NULL;24.9506643513986;58.1485254759881;"E,N,R 9:00-16:00;T,K 9:00-18:00; L 9:00-12:00;P suletud";NULL;NULL;"26.09.15 suletud";26.09.2015;;;;;;2015-09-08+03:00
90294;"Kirbla postipunkt";1;EE;"Lääne maakond";"Lihula vald";"Kirbla küla";NULL;NULL;Kaupluse;NULL;NULL;23.9530657810291;58.7259639886171;"E-R 10-18;L 10-15;P suletud";NULL;NULL;"22.06.-24.06.2015 suletud";24.06.2015;;;;;;2015-06-15+03:00
78091;"Kivi-Vigala postkontor";1;EE;"Rapla maakond";"Vigala vald";"Kivi-Vigala küla";NULL;"Sääla tee";NULL;1;NULL;24.365808514703;58.7138020544446;"E,T,N,R 8:00-13:00;K 9:00-14:00;L,P suletud";NULL;NULL;"15.09.15 suletud;lähim Märjamaa pk";15.09.2015;;;;;;2015-09-04+03:00
